qid,base_cov,delta,attraction,n_poles,k,pole_baseline,pole_scout,pole_div_only,vendi_k_baseline,vendi_k_scout,d_vendi_k,mpc_baseline,mpc_scout,w_baseline,w_scout,modes_baseline,modes_scout,d_modes
4814,0.3333,0.0,0.0871729850769043,16,3,0.10412988066673279,0.19130286574363708,0.2087090015411377,2.023348808288574,2.2143309712409973,0.1909821629524231,0.6475638747215271,0.5484635233879089,64,261,2.023348808288574,3.706376075744629,1.6830272674560547
4978,0.7,-0.7,0.23552972078323364,20,4,0.32547760009765625,0.5610073208808899,0.5257064700126648,2.6158106327056885,2.584800732135773,-0.031009900569915594,0.5581168532371521,0.5419766902923584,51,308,2.6158106327056885,3.217374801635742,0.6015641689300537
5081,0.3333,0.06670000000000004,0.047018975019454956,20,4,0.3570408523082733,0.40405982732772827,0.5211198925971985,3.1986591815948486,2.4911825299263,-0.7074766516685487,0.3404456675052643,0.5807327032089233,82,408,3.1986591815948486,3.6842527389526367,0.4855935573577881
5336,0.4,-0.06670000000000004,0.08256539702415466,36,3,0.45360323786735535,0.53616863489151,0.5096632838249207,2.259366750717163,2.078218197822571,-0.1811485528945922,0.5421227812767029,0.65200275182724,57,358,2.259366750717163,2.9601778984069824,0.7008111476898193
5905,0.0,0.75,0.10103604197502136,20,,0.14425724744796753,0.2452932894229889,0.23817197978496552,,,,0.6909167766571045,0.728992760181427,45,313,1.538036584854126,2.492037534713745,0.9540009498596191
5914,1.0,-1.0,0.07843202352523804,20,,0.26432669162750244,0.3427587151527405,0.3864902853965759,,,,0.5417841076850891,0.5627613663673401,36,290,1.712914228439331,4.342470169067383,2.6295559406280518
6082,0.6,-0.02859999999999996,-0.019334353506565094,20,3,0.1125563383102417,0.0932219848036766,0.07914804667234421,2.606110095977783,1.9432399451732636,-0.6628701508045196,0.37662801146507263,0.6745727062225342,58,344,2.606110095977783,2.742417812347412,0.1363077163696289
6824,0.0,0.4,0.12490266561508179,20,3,0.2993932068347931,0.4242958724498749,0.36968177556991577,2.283116579055786,1.9675165474414826,-0.3156000316143035,0.48937782645225525,0.6739861369132996,58,347,2.283116579055786,2.8610892295837402,0.5779726505279541
6920,0.5,-0.5,0.11262652277946472,20,3,0.35137465596199036,0.4640011787414551,0.4949359893798828,2.1934142112731934,1.690900492668152,-0.5025137186050415,0.5507075190544128,0.7831892371177673,46,251,2.1934142112731934,1.81658935546875,-0.37682485580444336
7043,0.4,-0.4,-0.004347413778305054,20,,0.4209248423576355,0.41657742857933044,0.38387981057167053,,,,0.490855872631073,0.7326509952545166,45,306,1.7635036706924438,2.2854278087615967,0.5219241380691528
7212,0.8333,0.0,0.07276949286460876,20,5,0.30889463424682617,0.38166412711143494,0.41820207238197327,3.3386034965515137,2.697203755378723,-0.6413997411727905,0.4799632132053375,0.6199199557304382,85,379,3.3386034965515137,3.5788962841033936,0.24029278755187988
7263,1.0,-0.5,0.0329003632068634,20,,0.45368069410324097,0.48658105731010437,0.4216698706150055,,,,0.635290265083313,0.5319288372993469,26,364,1.607926607131958,5.518703937530518,3.9107773303985596
7328,0.8571,0.14290000000000003,-0.03929509222507477,12,5,0.2670022249221802,0.2277071326971054,0.24773190915584564,2.9860596656799316,2.362528896331787,-0.6235307693481444,0.5490848422050476,0.7032889127731323,118,337,2.9860596656799316,3.2739548683166504,0.28789520263671875
7513,1.0,-0.28569999999999995,0.03443995118141174,20,5,0.2608434855937958,0.2952834367752075,0.2455415576696396,3.553375267982483,2.826172351837158,-0.7272029161453246,0.4423955976963043,0.5969129800796509,88,344,3.553375482559204,3.8129210472106934,0.25954556465148926
7628,0.0,1.0,-0.03240123391151428,20,3,0.340982586145401,0.3085813522338867,0.31816366314888,2.380499839782715,1.9245981872081757,-0.4559016525745392,0.4864501655101776,0.6343927383422852,59,233,2.380499839782715,2.6043829917907715,0.22388315200805664
7714,0.3333,0.0,0.034785717725753784,20,3,0.28941234946250916,0.32419806718826294,0.31529754400253296,2.1458873748779297,2.1513034403324127,0.005416065454483032,0.5927637219429016,0.6001842617988586,74,337,2.1458873748779297,3.3671462535858154,1.2212588787078857
7737,1.0,-0.6667000000000001,0.11879956722259521,12,3,0.35304340720176697,0.4718429744243622,0.4275340437889099,2.2425103187561035,2.0724861145019533,-0.1700242042541502,0.5574204325675964,0.6253780722618103,50,352,2.2425103187561035,2.884685754776001,0.6421754360198975
